id,cohort,tray,row,col,genotype,generation,size1,size2,size3,observer,
1849,1,9,A,4,9394,parent,,,,,
1144,1,9,A,5,9408x9352 rep1,F8,,,,,
1570,1,9,A,6,6163,parent,,,,,
931,1,9,B,1,8334x8231 rep2,F8,,,,,
334,1,9,B,2,6094x9369 rep1,F8,,,,,
199,1,9,B,3,6025x6046 rep1,F8,,,,,
1078,1,9,B,4,9388x9057 rep1,F8,,,,,
1750,1,9,B,5,8307,parent,,,,,
169,1,9,B,6,6019x6012 rep2,F8,,,,,
1558,1,9,C,1,6150,parent,,,,,
838,1,9,C,2,7519x6111 rep1,F8,,,,,
22,1,9,C,3,1062x6108 rep2,F8,,,,,
1219,1,9,C,4,9452x6114 rep2,F8,,,,,
1183,1,9,C,5,9427x8387 rep2,F8,,,,,
151,1,9,C,6,6012x997 rep2,F8,,,,,
1213,1,9,D,1,9451x9437 rep2,F8,,,,,
961,1,9,D,2,8387x6238 rep2,F8,,,,,
478,1,9,D,3,6134x6013 rep2,F8,,,,,
1732,1,9,D,4,8242,parent,,,,,
562,1,9,D,5,6166x7519 rep2,F8,,,,,
1639,1,9,D,6,6217,parent,,,,,
1591,1,9,E,1,6180,parent,,,,,
517,1,9,E,2,6148x6138 rep1,F8,,,,,
778,1,9,E,3,6276x9363 rep1,F8,,,,,
994,1,9,E,4,9321x6189 rep1,F8,,,,,
1780,1,9,E,5,9057,parent,,,,,
982,1,9,E,6,9057x9382 rep1,F8,,,,,
67,1,9,F,1,1318x6035 rep1,F8,,,,,
253,1,9,F,2,6043x9453 rep1,F8,,,,,
4,1,9,F,3,1002x6038 rep2,F8,,,,,
1702,1,9,F,4,6974,parent,,,,,
505,1,9,F,5,6142x7517 rep1,F8,,,,,
1615,1,9,F,6,6197,parent,,,,,
343,1,9,G,1,6097x1318 rep2,F8,,,,,
571,1,9,G,2,6171x6074 rep1,F8,,,,,
883,1,9,G,3,8241x1137 rep2,F8,,,,,
1,1,9,G,4,1002x6038 rep1,F8,,,,,
703,1,9,G,5,6218x6043 rep1,F8,,,,,
730,1,9,G,6,6238x6105 rep1,F8,,,,,
1696,1,9,H,1,6918,parent,,,,,
847,1,9,H,2,8222x6243 rep2,F8,,,,,
1501,1,9,H,3,6118,parent,,,,,
1894,1,9,H,4,9434,parent,,,,,
1522,1,9,H,5,6131,parent,,,,,
544,1,9,H,6,6154x6221 rep2,F8,,,,,
106,1,10,A,1,5829x9336 rep2,F8,,,,,
247,1,10,A,2,6041x6153 rep1,F8,,,,,
1285,1,10,A,3,1061,parent,,,,,
433,1,10,A,4,6126x6172 rep1,F8,,,,,
139,1,10,A,5,5867x6913 rep1,F8,,,,,
298,1,10,A,6,6076x1254 rep1,F8,,,,,
1852,1,10,B,1,9395,parent,,,,,
31,1,10,B,2,1137x1074 rep1,F8,,,,,
1576,1,10,B,3,6169,parent,,,,,
1588,1,10,B,4,6177,parent,,,,,
1891,1,10,B,5,9433,parent,,,,,
457,1,10,B,6,6132x6255 rep1,F8,,,,,
1330,1,10,C,1,175,parent,,,,,
1162,1,10,C,2,9413x8423 rep1,F8,,,,,
124,1,10,C,3,5835x9058 rep2,F8,,,,,
1648,1,10,C,4,6221,parent,,,,,
394,1,10,C,5,6112x6166 rep1,F8,,,,,
586,1,10,C,6,6173x9383 rep2,F8,,,,,
1444,1,10,D,1,6090,parent,,,,,
637,1,10,D,2,6194x1061 rep1,F8,,,,,
964,1,10,D,3,8422x6209 rep1,F8,,,,,
1069,1,10,D,4,9382x6035 rep2,F8,,,,,
88,1,10,D,5,1552x1158 rep2,F8,,,,,
463,1,10,D,6,6133x6020 rep1,F8,,,,,
370,1,10,E,1,6105x5829 rep2,F8,,,,,
1039,1,10,E,2,9356x6094 rep2,F8,,,,,
841,1,10,E,3,7519x6111 rep2,F8,,,,,
1837,1,10,E,4,9388,parent,,,,,
598,1,10,E,5,6180x1317 rep2,F8,,,,,
1831,1,10,E,6,9383,parent,,,,,
781,1,10,F,1,6276x9363 rep2,F8,,,,,
1477,1,10,F,2,6107,parent,,,,,
697,1,10,F,3,6217x6126 rep1,F8,,,,,
415,1,10,F,4,6118x8227 rep2,F8,,,,,
1345,1,10,F,5,5856,parent,,,,,
289,1,10,F,6,6073x9476 rep2,F8,,,,,
1624,1,10,G,1,6202,parent,,,,,
145,1,10,G,2,6011x6017 rep2,F8,,,,,
1462,1,10,G,3,6100,parent,,,,,
1723,1,10,G,4,8237,parent,,,,,
448,1,10,G,5,6128x9413 rep2,F8,,,,,
1429,1,10,G,6,6074,parent,,,,,
1036,1,10,H,1,9356x6094 rep1,F8,,,,,
160,1,10,H,2,6017x9392 rep1,F8,,,,,
754,1,10,H,3,6244x6173 rep1,F8,,,,,
451,1,10,H,4,6131x6113 rep1,F8,,,,,
301,1,10,H,5,6076x1254 rep2,F8,,,,,
655,1,10,H,6,6198x6118 rep1,F8,,,,,
172,1,11,A,1,6020x6030 rep1,F8,,,,,
1120,1,11,A,2,9402x6169 rep1,F8,,,,,
1768,1,11,A,3,8387,parent,,,,,
361,1,11,A,4,6104x6034 rep1,F8,,,,,
1357,1,11,A,5,6012,parent,,,,,
832,1,11,A,6,7517x6284 rep1,F8,,,,,
1804,1,11,B,1,9352,parent,,,,,
1381,1,11,B,2,6025,parent,,,,,
1789,1,11,B,3,9323,parent,,,,,
1057,1,11,B,4,9380x1063 rep2,F8,,,,,
850,1,11,B,5,8227x6216 rep1,F8,,,,,
1033,1,11,B,6,9353x6109 rep2,F8,,,,,
1207,1,11,C,1,9450x9356 rep2,F8,,,,,
349,1,11,C,2,6098x9451 rep2,F8,,,,,
58,1,11,C,3,1257x8334 rep2,F8,,,,,
1435,1,11,C,4,6085,parent,,,,,
568,1,11,C,5,6169x8230 rep2,F8,,,,,
304,1,11,C,6,6085x9409 rep1,F8,,,,,
811,1,11,D,1,6918x9323 rep2,F8,,,,,
1252,1,11,D,2,9476x991 rep1,F8,,,,,
1930,1,11,D,3,991,parent,,,,,
547,1,11,D,4,6163x6111 rep1,F8,,,,,
802,1,11,D,5,6917x6011 rep1,F8,,,,,
1192,1,11,D,6,9434x6177 rep1,F8,,,,,
1480,1,11,E,1,6108,parent,,,,,
1228,1,11,E,2,9454x1363 rep1,F8,,,,,
766,1,11,E,3,6255x6136 rep1,F8,,,,,
283,1,11,E,4,6071x6145 rep1,F8,,,,,
1468,1,11,E,5,6104,parent,,,,,
565,1,11,E,6,6169x8230 rep1,F8,,,,,
1333,1,11,F,1,5829,parent,,,,,
1354,1,11,F,2,6011,parent,,,,,
490,1,11,F,3,6137x5867 rep2,F8,,,,,
1729,1,11,F,4,8241,parent,,,,,
1141,1,11,F,5,9407x6040 rep2,F8,,,,,
325,1,11,F,6,6090x9416 rep2,F8,,,,,
1825,1,11,G,1,9381,parent,,,,,
751,1,11,G,2,6243x6180 rep2,F8,,,,,
1231,1,11,G,3,9454x1363 rep2,F8,,,,,
1132,1,11,G,4,9405x6100 rep1,F8,,,,,
466,1,11,G,5,6133x6020 rep2,F8,,,,,
