id,cohort,tray,row,col,genotype,generation
1877,2,20,H,6,9412,parent
1205,2,21,A,1,9450x9356 rep1,F8
128,2,21,A,2,5856x9452 rep1,F8
1457,2,21,A,3,6098,parent
1904,2,21,A,4,9451,parent
1856,2,21,A,5,9399,parent
1469,2,21,A,6,6104,parent
1502,2,21,B,1,6118,parent
1805,2,21,B,2,9352,parent
1808,2,21,B,3,9353,parent
1208,2,21,B,4,9450x9356 rep2,F8
1415,2,21,B,5,6064,parent
641,2,21,B,6,6194x1061 rep2,F8
1034,2,21,C,1,9353x6109 rep2,F8
1151,2,21,C,2,9409x6104 rep1,F8
557,2,21,C,3,6163x9405 rep2,F8
1160,2,21,C,4,9412x6024 rep2,F8
47,2,21,C,5,1158x6092 rep2,F8
74,2,21,C,6,1367x8256 rep1,F8
1802,2,21,D,1,9343,parent
776,2,21,D,2,6258x1257 rep2,F8
728,2,21,D,3,6237x6090 rep2,F8
146,2,21,D,4,6011x6017 rep2,F8
1148,2,21,D,5,9408x9352 rep2,F8
269,2,21,D,6,6064x9404 rep2,F8
1199,2,21,E,1,9437x6197 rep1,F8
362,2,21,E,2,6104x6034 rep1,F8
1868,2,21,E,3,9407,parent
